loan_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,address
25000, 36 months,8.19,785.61,A,A5,word processor clerk,10+ years,RENT,61000,Source Verified,Jan-15,Fully Paid,credit_card,Credit card refinancing,17.69,Aug-91,6,0,33808,59.8,42,w,INDIVIDUAL,0,0,"Unit 5228 Box 5699
DPO AP 00813"
18000, 36 months,7.39,559.01,A,A4,Communications Tech,10+ years,MORTGAGE,100000,Not Verified,May-16,Charged Off,debt_consolidation,Debt consolidation,16.61,Mar-97,9,0,41842,87.9,27,w,INDIVIDUAL,7,0,"5259 Kristin Forks Suite 181
New Brandonfort, NE 11650"
12000, 36 months,13.11,404.97,B,B4,Superior Communications,1 year,RENT,41600,Not Verified,May-13,Fully Paid,debt_consolidation,Invest Here! Reliable Borrower,14.68,Dec-04,10,0,11337,52.7,18,f,INDIVIDUAL,0,0,"691 Garcia Dale
Peterview, IN 29597"
9125, 36 months,13.49,309.62,C,C2,Project Coordinator,2 years,OWN,38147,Not Verified,Jul-16,Fully Paid,debt_consolidation,Debt consolidation,26.87,Oct-09,22,0,3217,17.6,28,f,INDIVIDUAL,0,0,"07622 Williams Canyon Suite 398
Velasquezchester, NM 05113"
6150, 36 months,11.67,203.31,B,B4,Research Administrative Manager,8 years,RENT,72000,Source Verified,Jun-14,Fully Paid,vacation,Vacation,15.86,Feb-96,10,0,4080,14.4,30,f,INDIVIDUAL,0,0,"0295 Matthew Islands Suite 462
North Craig, MS 22690"
7200, 36 months,10.99,235.69,B,B2,representitive,1 year,MORTGAGE,56000,Verified,Jan-14,Fully Paid,home_improvement,Home improvement,12.58,Feb-84,9,0,6976,69.8,11,w,INDIVIDUAL,1,0,"350 Nicole Burg Suite 248
North Brianland, MO 22690"
12000, 36 months,12.12,399.26,B,B3,Brite N Clean,10+ years,RENT,50000,Source Verified,Jul-13,Charged Off,credit_card,Credit card refinancing,23.93,Nov-91,16,0,21169,57.1,36,f,INDIVIDUAL,0,0,"880 Morrow Hills
North Stephen, DE 30723"
6000, 36 months,9.25,191.5,B,B2,E-Z Rent-A-Car,< 1 year,RENT,26780,Source Verified,Jan-11,Fully Paid,debt_consolidation,Credit Card Killer,14.74,Dec-04,3,0,4330,40.8,11,f,INDIVIDUAL,,0,"712 Meghan Fort Apt. 611
Lake Brianfurt, RI 05113"
10000, 36 months,13.98,341.68,C,C1,Watch Manager,4 years,MORTGAGE,88000,Verified,Dec-13,Fully Paid,major_purchase,Major purchase,27.6,Sep-92,13,0,27242,98.3,47,f,INDIVIDUAL,4,0,"48730 Paula Plaza Apt. 388
Michaelshire, UT 00813"
12000, 36 months,15.1,416.58,C,C2,Acting lieutentant  ,10+ years,MORTGAGE,75000,Not Verified,Oct-13,Fully Paid,credit_card,CC Payoff,2.86,Jan-00,7,0,6268,38.2,27,f,INDIVIDUAL,3,0,"00116 Kathleen Fall
South Mark, GA 22690"
24000, 60 months,13.99,558.32,C,C4,Senior Systems Engineer,5 years,MORTGAGE,114000,Source Verified,Mar-15,Fully Paid,debt_consolidation,Debt consolidation,13.81,Feb-98,15,0,30397,54.9,46,w,INDIVIDUAL,7,0,"054 Nichols Prairie Suite 513
Leslieview, MT 29597"
25000, 60 months,9.17,521.03,B,B2,Scheduling/Flight Attendant,6 years,MORTGAGE,170000,Not Verified,Aug-15,Charged Off,home_improvement,Home improvement,8.58,Apr-01,13,0,14017,16.5,28,w,INDIVIDUAL,4,0,"083 Brian Isle Suite 295
Christinetown, VA 48052"
15000, 36 months,8.9,476.3,A,A5,TD Ameritrade ,6 years,MORTGAGE,150000,Not Verified,Mar-13,Fully Paid,credit_card,Credit card consolidation,17.18,Jul-92,13,0,64705,94,22,f,INDIVIDUAL,1,0,"12518 Perry Villages Suite 069
Port Rogerbury, IA 48052"
6000, 36 months,15.61,209.79,D,D1,Deputy Sherrif,6 years,MORTGAGE,105000,Verified,Oct-14,Fully Paid,debt_consolidation,Debt consolidation,17.02,May-90,17,1,16237,52.5,30,w,INDIVIDUAL,0,1,"10038 Matthew Corners
Joseview, ME 48052"
9100, 36 months,11.55,300.3,B,B3,,10+ years,MORTGAGE,52000,Verified,Sep-13,Fully Paid,debt_consolidation,Debt Buster,19.45,Oct-99,16,0,32644,59.7,29,w,INDIVIDUAL,2,0,"458 Brown Skyway Apt. 088
Port Heidiborough, DE 48052"
8400, 36 months,5.32,252.97,A,A1,IT Recruiter,10+ years,MORTGAGE,80000,Source Verified,Nov-15,Fully Paid,debt_consolidation,Debt consolidation,17.01,Sep-00,15,1,7796,19.9,30,w,INDIVIDUAL,1,0,"526 Hull Freeway Suite 143
East Sarah, MS 05113"
2750, 36 months,16.29,97.08,C,C4,US Army,7 years,RENT,62000,Source Verified,Oct-12,Charged Off,other,Other,17.52,Jun-06,9,0,5690,49.5,15,f,INDIVIDUAL,0,0,"Unit 6557 Box 1971
DPO AE 48052"
30000, 36 months,9.49,960.85,B,B2,Financial Services Manager,10+ years,MORTGAGE,100000,Verified,Feb-15,Charged Off,debt_consolidation,Debt consolidation,13.28,Jun-89,13,0,33355,53.1,29,f,INDIVIDUAL,6,0,"063 Tracy Prairie Suite 106
Williamshaven, DC 11650"
2400, 36 months,16.55,85.04,D,D2,Technician,10+ years,RENT,42000,Verified,Sep-15,Charged Off,other,Other,23.4,Jun-01,4,0,12711,99.3,9,f,INDIVIDUAL,0,0,"751 Martinez Village Suite 590
North Aliciaburgh, VT 22690"
12000, 36 months,7.9,375.49,A,A4,General Manager,< 1 year,RENT,45000,Not Verified,Nov-13,Fully Paid,debt_consolidation,Debt Consolidation,22.24,Dec-98,9,0,2373,18.8,26,w,INDIVIDUAL,2,0,"48944 Kelly Square Apt. 034
New Anthony, VA 29597"
19000, 36 months,13.11,641.2,B,B4,styles for less,10+ years,RENT,79000,Not Verified,Sep-12,Fully Paid,debt_consolidation,consolidation,20.2,Aug-94,18,0,15907,45.4,33,f,INDIVIDUAL,0,0,"Unit 5535 Box 9282
DPO AE 29597"
20000, 60 months,8.59,411.2,A,A5,program manager,10+ years,MORTGAGE,144000,Source Verified,Jul-16,Fully Paid,home_improvement,Home improvement,7.86,Mar-83,9,0,2819,11,24,w,INDIVIDUAL,5,0,"0357 Vargas Run
East Mariaborough, WI 22690"
5000, 36 months,7.26,154.99,A,A4,Teacher,4 years,MORTGAGE,32000,Verified,Sep-15,Fully Paid,major_purchase,Major purchase,0.94,May-05,11,0,483,3.1,26,w,INDIVIDUAL,1,0,"Unit 3304 Box 0302
DPO AP 29597"
20000, 60 months,12.99,454.96,C,C2,Project Consultant,10+ years,MORTGAGE,75000,Source Verified,Jan-15,Fully Paid,debt_consolidation,Debt consolidation,16.66,Oct-02,11,0,17960,48.8,19,w,INDIVIDUAL,1,0,"4927 Terrence Alley Apt. 633
Hartmouth, UT 30723"
25975, 36 months,14.33,891.94,C,C1,US ARMY,10+ years,MORTGAGE,65000,Source Verified,Aug-12,Fully Paid,debt_consolidation,debt consolidation,20.69,Jan-03,6,0,12003,90.9,26,f,INDIVIDUAL,1,0,"503 Bradley Vista Suite 416
Lake Margaretstad, SC 00813"
35000, 36 months,14.98,1212.95,C,C3,Consultant,1 year,MORTGAGE,115000,Verified,Jan-14,Fully Paid,credit_card,Credit card refinancing,12.46,Apr-02,10,0,23815,61.1,21,f,INDIVIDUAL,6,0,"74730 Phillips Flats
Pooleland, GA 48052"
22000, 36 months,9.49,704.63,B,B2,Sales Management,3 years,OWN,70000,Source Verified,Nov-14,Fully Paid,debt_consolidation,Debt consolidation,13.17,Sep-00,12,1,20256,71.3,17,w,INDIVIDUAL,0,0,"Unit 2545 Box 0238
DPO AA 29597"
20000, 36 months,6.03,608.72,A,A1,District Director of Clinical Operations,10+ years,MORTGAGE,170000,Verified,Oct-14,Fully Paid,debt_consolidation,Debt consolidation,24.03,Nov-88,22,0,30400,50.2,38,w,INDIVIDUAL,2,0,"Unit 2172 Box 0681
DPO AP 00813"
20000, 60 months,21.49,546.6,E,E3,Allen Press Inc.,5 years,MORTGAGE,65000,Source Verified,Nov-12,Charged Off,debt_consolidation,New start,25.57,Feb-91,24,0,6661,17.6,63,w,INDIVIDUAL,4,0,"86462 Donald Causeway Apt. 130
Sarahmouth, CO 22690"
10000, 36 months,10.99,327.34,B,B4,Credit Clerk/Customer Service Representa,3 years,RENT,25200,Source Verified,Jul-15,Fully Paid,credit_card,Credit card refinancing,31.62,Sep-06,9,0,8557,87.3,20,w,INDIVIDUAL,0,0,"1244 Noah Prairie Apt. 193
Johnsontown, AK 29597"
7200, 36 months,21.49,273.08,E,E3,,5 years,RENT,34000,Verified,Mar-13,Fully Paid,medical,Debt Consolidation,5.19,Jun-09,5,0,4499,71.4,8,f,INDIVIDUAL,0,0,"4365 Michael Course Suite 789
Brettville, LA 00813"
16000, 36 months,11.55,528,B,B3,US Marine,10+ years,MORTGAGE,110000,Source Verified,Aug-13,Fully Paid,debt_consolidation,Debt consolidation,21.69,Mar-94,18,0,21519,81.7,42,f,INDIVIDUAL,2,0,"5749 Barnett Plaza
Paulamouth, AR 05113"
14000, 36 months,12.39,467.62,C,C1,Mortgage Loan Originator,< 1 year,RENT,60000,Source Verified,Dec-14,Fully Paid,debt_consolidation,Debt consolidation,31.83,Jan-81,13,0,16209,68.1,28,f,INDIVIDUAL,3,0,"377 Reed Plain
Crystalfort, SD 70466"
35000, 36 months,10.15,1131.82,B,B2,Pediatric Dentist,7 years,MORTGAGE,710000,Source Verified,May-14,Fully Paid,debt_consolidation,Debt consolidation,7.16,Jun-93,32,0,46837,25.8,54,f,INDIVIDUAL,2,0,"71936 Brown Field Apt. 029
East Dawn, CO 22690"
5000, 36 months,14.49,172.09,C,C4,clerk,8 years,RENT,94000,Source Verified,Jul-14,Fully Paid,home_improvement,Home improvement,7.76,Mar-04,6,0,4503,65.3,7,w,INDIVIDUAL,0,0,"04338 Kenneth Tunnel Suite 327
Stevensonchester, IA 29597"
30000, 60 months,10.49,644.67,B,B3,Vice President,3 years,MORTGAGE,250000,Source Verified,Dec-14,Fully Paid,credit_card,Credit card refinancing,7.75,Aug-02,8,0,55719,51.9,26,w,INDIVIDUAL,1,0,"4801 Darlene Lock
Knoxshire, VA 22690"
4000, 36 months,6.62,122.82,A,A2,JPM CHASE,10+ years,MORTGAGE,62000,Not Verified,May-12,Fully Paid,home_improvement,POOL,21.19,Apr-94,11,0,424,1.9,16,f,INDIVIDUAL,1,0,"17361 Carter Lake
Edwardville, CA 00813"
10000, 36 months,6.49,306.45,A,A2,System Administrator,3 years,RENT,32500,Source Verified,Oct-14,Charged Off,credit_card,Credit card refinancing,23.94,Aug-98,11,0,7113,46.5,30,w,INDIVIDUAL,0,0,"USS Benton
FPO AE 48052"
9800, 36 months,9.99,316.18,B,B3,,,RENT,65000,Source Verified,Nov-15,Fully Paid,medical,Medical expenses,15.81,Jun-85,8,0,11613,61.4,17,w,INDIVIDUAL,0,0,"Unit 8544 Box 3714
DPO AP 30723"
15075, 60 months,21.99,416.27,E,E5,Control room clerk,8 years,RENT,34320,Source Verified,Dec-14,Fully Paid,debt_consolidation,Debt consolidation,33.04,Apr-95,6,0,18042,63.1,18,w,INDIVIDUAL,1,0,"2865 Dakota Mall Apt. 616
New Belinda, AK 70466"
10000, 36 months,7.62,311.62,A,A3,,,MORTGAGE,54288,Not Verified,May-12,Fully Paid,credit_card,credit card,13,Dec-90,6,0,3063,37.4,21,f,INDIVIDUAL,1,0,"5260 Wilson Cape Apt. 539
Lake Amandaside, VA 00813"
18000, 36 months,6.99,555.71,A,A3,,,RENT,46500,Verified,Jan-15,Charged Off,debt_consolidation,Debt consolidation,16.59,Jan-05,9,0,110,0.8,22,f,INDIVIDUAL,0,0,"798 Frances Ranch
Port Kaitlyn, ME 30723"
29775, 60 months,14.99,708.19,C,C5,Police officer,10+ years,MORTGAGE,75000,Not Verified,May-14,Fully Paid,debt_consolidation,Debt consolidation,24.7,Nov-93,16,0,34206,51.6,26,w,INDIVIDUAL,4,0,"5246 Rachel Skyway
Michelemouth, WY 30723"
12000, 36 months,6.62,368.45,A,A2,RLM Communicaitons,< 1 year,MORTGAGE,84000,Source Verified,Jan-12,Fully Paid,major_purchase,Pool,22.66,Jul-93,8,0,5355,70.5,25,f,INDIVIDUAL,,0,"82254 Eugene Glen
New Christopherville, KS 00813"
16000, 36 months,13.06,539.57,C,C2,National Radio Astronomy Observatory,< 1 year,RENT,65000,Source Verified,Mar-11,Fully Paid,debt_consolidation,my loan,4.23,Jun-97,3,0,7634,37.4,10,f,INDIVIDUAL,,0,"36002 Morton Walks
Port Francisco, NC 29597"
15000, 36 months,7.89,469.29,A,A5,Access Manager,10+ years,MORTGAGE,118000,Not Verified,Jul-15,Fully Paid,debt_consolidation,Debt consolidation,16.67,Jun-95,11,0,45873,76.6,42,w,INDIVIDUAL,6,0,"6219 Emily Meadows
North Samantha, TN 48052"
6250, 36 months,15.61,218.53,C,C3,Wells Fargo Bank,7 years,MORTGAGE,43962,Verified,Sep-13,Fully Paid,debt_consolidation,Pay Credit Card,34.05,Jul-89,11,1,9160,59.1,17,f,INDIVIDUAL,1,1,"059 Pennington Glens Apt. 789
East Robert, WV 22690"
27200, 60 months,22.15,753.56,E,E5,Teacher,9 years,MORTGAGE,65000,Source Verified,Aug-14,Fully Paid,debt_consolidation,Debt consolidation,14.64,Sep-94,12,0,10203,57.3,28,w,INDIVIDUAL,1,0,"9390 Kristen Springs Suite 375
West Nicholas, NJ 48052"
21000, 60 months,13.11,479,B,B4,Mount Sinai Hospital,10+ years,MORTGAGE,100000,Source Verified,Feb-13,Fully Paid,credit_card,Credit card refinancing,22.64,Sep-03,8,0,4894,65.3,12,f,INDIVIDUAL,1,0,"042 Jesse Crescent Apt. 123
Gatesberg, TN 05113"
24000, 60 months,12.99,545.96,C,C2,Sr. Software Engineer,10+ years,RENT,90000,Source Verified,Nov-14,Charged Off,debt_consolidation,Debt consolidation,20.56,Oct-01,10,0,15145,28.1,15,f,INDIVIDUAL,0,0,"303 Mcdonald Isle Apt. 167
South Christopher, MD 22690"
6200, 36 months,7.9,194,A,A4,Customer Care Representative,< 1 year,RENT,35000,Source Verified,Mar-14,Fully Paid,debt_consolidation,Debt consolidation,28.12,Aug-02,5,0,7264,71.2,12,w,INDIVIDUAL,0,0,"9244 Stuart Oval Suite 261
South Yvonne, OK 22690"
20175, 36 months,14.49,694.35,C,C4,Medical Assistant,10+ years,MORTGAGE,44876,Verified,Jun-14,Fully Paid,debt_consolidation,Debt consolidation,26.16,May-89,10,0,17394,79.1,28,w,INDIVIDUAL,1,0,"774 Jerry Bridge
West Michaelmouth, WI 48052"
5600, 36 months,10.59,182.26,B,B2,University of Washington,3 years,RENT,54000,Verified,Aug-11,Fully Paid,small_business,Small Business Loan,0.4,Oct-07,2,0,929,14.3,5,f,INDIVIDUAL,,0,"4112 Martinez Cliffs
Port Katie, LA 00813"
12500, 36 months,10.99,409.18,B,B2,Scheduler,5 years,RENT,44784,Source Verified,Mar-14,Fully Paid,debt_consolidation,Debt consolidation,19.61,Apr-07,6,0,10740,60,10,f,INDIVIDUAL,0,0,"65208 Williams Island
West Alyssamouth, AR 48052"
5000, 36 months,10.99,163.67,B,B4,sealer/laborer,6 years,RENT,34000,Not Verified,Jun-15,Charged Off,credit_card,Credit card refinancing,18.31,Oct-05,7,0,4102,35.7,8,w,INDIVIDUAL,0,0,"015 Boone Glens Suite 788
South Daniel, TN 48052"
16000, 36 months,7.12,494.92,A,A3,Test Engineer,10+ years,MORTGAGE,75200,Not Verified,Jul-14,Fully Paid,debt_consolidation,Debt consolidation,11.33,Jun-00,6,0,23059,65.7,19,w,INDIVIDUAL,2,0,"509 Delacruz Well Apt. 145
South Michelle, WI 70466"
28000, 60 months,21,757.5,E,E2,Trade Solutions,5 years,MORTGAGE,102000,Verified,Jun-13,Fully Paid,debt_consolidation,Consolidation,19.64,Jan-93,20,0,24743,48.6,38,w,INDIVIDUAL,2,0,"320 Tammy Junctions
Lake Jeffreyborough, CO 30723"
9600, 60 months,11.86,212.87,B,B5,MEDFORD TRUCKING,1 year,OWN,48000,Not Verified,Sep-10,Fully Paid,medical,FAMILY LOAN,13.3,May-94,5,0,2769,13.9,11,f,INDIVIDUAL,,0,"163 Michael Parks
Nicholasbury, PA 00813"
15000, 36 months,16.29,529.51,D,D2,Senior Installation Technician,10+ years,RENT,60000,Verified,Jul-14,Fully Paid,debt_consolidation,Debt consolidation,7.36,Nov-04,4,0,14358,76.8,5,w,INDIVIDUAL,0,0,"6977 Hernandez Manors
Floresstad, FL 05113"
6250, 36 months,18.75,228.32,D,D3,delta airlines,10+ years,MORTGAGE,72000,Verified,Sep-12,Fully Paid,debt_consolidation,debt consolidation,8.78,Oct-00,3,0,29111,88.5,20,f,INDIVIDUAL,3,0,"61085 Jacobs Camp Suite 343
West Robert, TN 22690"
8000, 36 months,10.99,261.88,B,B4,Reporting Analyst,< 1 year,RENT,41000,Not Verified,Apr-15,Fully Paid,credit_card,Credit card refinancing,22.99,Oct-06,15,0,14174,73.8,25,w,INDIVIDUAL,0,0,"039 Clements Green Suite 863
North David, HI 05113"
7200, 36 months,22.45,276.66,E,E5,,,RENT,26000,Verified,Apr-14,Fully Paid,other,Other,34.58,Sep-04,6,0,3838,101,13,w,INDIVIDUAL,0,0,"4349 Pacheco Circles
Port Jason, LA 05113"
22400, 60 months,9.16,466.73,B,B2,career coach,8 years,MORTGAGE,70000,Source Verified,Feb-16,Fully Paid,debt_consolidation,Debt consolidation,18.55,Nov-01,4,0,3699,14.8,34,w,INDIVIDUAL,2,0,"822 Meyer Track
Crystalchester, HI 05113"
12000, 36 months,10.16,388.11,B,B1,,,RENT,65000,Verified,Jun-13,Fully Paid,credit_card,Freedom ,20.28,Jul-96,8,0,28178,40.3,21,f,INDIVIDUAL,0,0,"87316 Kane Circles Suite 705
Ashleyshire, MA 00813"
3900, 36 months,7.9,122.04,A,A4,University of North Carolina,6 years,MORTGAGE,38100,Not Verified,Oct-11,Fully Paid,credit_card,Credit Card Loan,15.06,Nov-97,6,0,10936,91.9,27,f,INDIVIDUAL,,0,"009 Jamie Parkways
Norrismouth, OH 70466"
12000, 36 months,6.62,368.45,A,A2,school dist. 21,10+ years,MORTGAGE,70000,Not Verified,Sep-12,Fully Paid,debt_consolidation,debt consolidation,28.58,Jun-96,12,0,22219,60.1,26,f,INDIVIDUAL,4,0,"3232 Michael Vista
Lake Crystal, WA 05113"
3125, 36 months,11.44,102.97,B,B4,Carrier,10+ years,MORTGAGE,70000,Not Verified,Jan-15,Fully Paid,credit_card,Credit card refinancing,2.64,Jul-00,5,1,2875,58,35,f,INDIVIDUAL,4,1,"476 Nicole Ridge
Port Rhonda, MO 70466"
30375, 36 months,14.31,1042.73,C,C4,Vice President,1 year,RENT,150000,Verified,Jan-15,Fully Paid,debt_consolidation,Debt consolidation,24.79,Mar-03,11,0,55242,70.8,29,f,INDIVIDUAL,1,0,"605 Vincent Roads
West Jenniferberg, WI 30723"
35000, 60 months,11.99,778.38,C,C1,Registered Nurse,< 1 year,MORTGAGE,135000,Source Verified,Dec-15,Fully Paid,debt_consolidation,Debt consolidation,18.8,Apr-04,19,0,30620,56,35,w,INDIVIDUAL,3,0,"USNV Rodriguez
FPO AE 70466"
10000, 60 months,17.86,253.18,D,D5,property manager ,5 years,MORTGAGE,40000,Source Verified,Feb-15,Charged Off,credit_card,Credit card refinancing,26.07,Apr-01,11,0,9023,52.5,20,f,INDIVIDUAL,2,0,"Unit 3163 Box 3968
DPO AE 70466"
9000, 36 months,6.49,275.81,A,A2,Communications Manager,< 1 year,RENT,96000,Not Verified,Oct-14,Fully Paid,credit_card,Credit card refinancing,8.91,Oct-84,16,0,17017,30.4,61,f,INDIVIDUAL,2,0,"6360 Louis Path
Hallfort, MD 22690"
5600, 36 months,8.9,177.82,A,A5,Grasmere Place,4 years,MORTGAGE,65000,Not Verified,Apr-12,Fully Paid,vacation,OVERDUE VACATION,12.09,Jul-91,11,0,21409,92.7,26,f,INDIVIDUAL,3,0,"50797 Sonya Lights Suite 500
Jessicastad, RI 48052"
25000, 60 months,19.72,658.46,D,D5,bed bath & beyond,2 years,RENT,79980,Source Verified,Jul-12,Fully Paid,debt_consolidation,debt consolidation,17.73,Oct-96,9,0,9706,69.8,16,f,INDIVIDUAL,0,0,"8598 West Heights Apt. 257
Annaberg, TX 00813"
15000, 36 months,11.99,498.15,B,B3,Account Manager,2 years,RENT,63000,Source Verified,Mar-14,Fully Paid,credit_card,Credit card refinancing,17.57,Sep-04,28,0,15493,69.5,38,f,INDIVIDUAL,0,0,"984 Weiss Forges Apt. 919
Solisfort, VT 22690"
24375, 60 months,15.8,590.17,C,C3,MGM General Construction Corp.,10+ years,MORTGAGE,56500,Verified,Dec-12,Fully Paid,debt_consolidation,Debt consolidation,30.61,Dec-76,18,0,49136,77.6,32,f,INDIVIDUAL,2,0,"35238 Estes Shores Suite 069
New Connie, SC 00813"
20000, 36 months,16.99,712.96,D,D1,Physician Assistant,2 years,MORTGAGE,110000,Verified,Jan-14,Fully Paid,debt_consolidation,Debt consolidation,11.54,Feb-00,15,0,14135,67.3,23,w,INDIVIDUAL,1,0,"4136 Kelly Extensions Suite 644
Ralphville, NE 29597"
8000, 36 months,12.85,268.98,B,B4,HHA,6 years,RENT,40000,Not Verified,Jan-14,Fully Paid,other,Other,5.46,Oct-08,10,0,3954,30.9,12,f,INDIVIDUAL,0,0,"67288 Christopher Place Apt. 860
East Kevin, DE 29597"
3200, 36 months,14.35,109.92,C,C4,Costco Wholesale,2 years,RENT,58000,Verified,Jul-10,Fully Paid,major_purchase,Transmission Rebuild Loan,16.22,Nov-94,8,0,1080,34.8,31,f,INDIVIDUAL,,0,"479 Burch Neck Apt. 365
Stantonport, WY 48052"
27600, 60 months,10.99,599.96,B,B4,Manager,10+ years,RENT,65000,Verified,May-15,Fully Paid,debt_consolidation,Debt consolidation,37.32,May-96,11,0,36090,44.8,18,w,INDIVIDUAL,0,0,"040 Cantu Turnpike Suite 320
New Sherryberg, ME 48052"
26000, 36 months,16.2,916.66,C,C4,Plumbing Inspector,< 1 year,OWN,67500,Verified,Dec-13,Fully Paid,debt_consolidation,amazing,26.52,Jun-99,12,1,11538,48.1,18,w,INDIVIDUAL,0,1,"409 Allen Branch Suite 356
North Josephton, AL 05113"
16000, 36 months,6.62,491.26,A,A2,Marketing Manger ,2 years,MORTGAGE,86000,Source Verified,Mar-14,Fully Paid,debt_consolidation,Debt consolidation,18.38,Apr-02,23,0,3997,18.3,38,w,INDIVIDUAL,1,0,"13741 Daniels Station Apt. 194
Lake Alison, TN 48052"
6500, 36 months,13.53,220.68,B,B5,HR Manager,< 1 year,RENT,45000,Not Verified,Jan-14,Fully Paid,credit_card,Credit card refinancing,14.11,Aug-03,9,0,7767,65.3,14,w,INDIVIDUAL,0,0,"1452 Andre Shores
West Davidmouth, TN 05113"
30000, 36 months,12.69,1006.35,C,C2,Contract Specialist,10+ years,RENT,69000,Verified,Jun-15,Fully Paid,credit_card,Credit card refinancing,23.25,Oct-01,19,0,19403,63.4,34,w,INDIVIDUAL,0,0,"8560 George Groves
Kennethtown, WA 70466"
5000, 36 months,15.31,174.09,C,C2,Al's Formal Wear of Houston ,10+ years,MORTGAGE,46000,Verified,May-13,Charged Off,debt_consolidation,Spring Cleaning ,21.05,Oct-04,9,0,5821,53.4,20,f,INDIVIDUAL,1,0,"9123 Sarah Keys Apt. 479
Lake Amy, WA 93700"
10625, 36 months,13.11,358.57,B,B4,Wako chemicals,7 years,OWN,50000,Verified,Oct-12,Fully Paid,credit_card,Debt consolidation,15.84,May-95,22,0,14153,47,39,w,INDIVIDUAL,1,0,"518 Chelsea Flats Suite 573
Jimmyfurt, NY 22690"
20000, 60 months,19.99,529.77,E,E3,Insurance Broker,< 1 year,RENT,51000,Source Verified,Jan-15,Charged Off,debt_consolidation,Debt consolidation,36.52,May-02,10,0,10885,58.2,15,w,INDIVIDUAL,2,0,"733 Jennifer Estate Suite 636
South Jenniferfurt, NE 48052"
4500, 36 months,10.99,147.31,B,B3,Office Manager,10+ years,MORTGAGE,53000,Not Verified,Jul-14,Fully Paid,credit_card,Credit card refinancing,29.44,Aug-98,15,1,7685,39.2,33,f,INDIVIDUAL,8,1,"141 Cory Coves Apt. 097
Lake Barry, DE 00813"
12000, 36 months,14.65,413.94,C,C5,Events coordinator,9 years,RENT,50000,Not Verified,Jun-15,Fully Paid,debt_consolidation,Debt consolidation,8.09,Jan-05,8,0,12213,76.8,13,w,INDIVIDUAL,0,0,"2979 Howard Curve
Teresaside, NY 70466"
15000, 36 months,11.22,492.65,B,B5,Service man,10+ years,OWN,70000,Verified,Dec-15,Fully Paid,debt_consolidation,Debt consolidation,22.06,Dec-94,25,0,17709,38.2,34,w,INDIVIDUAL,0,0,"685 Davis Freeway Apt. 156
West Diana, WA 22690"
9000, 36 months,18.99,329.86,E,E1,,,OWN,25000,Verified,May-14,Charged Off,debt_consolidation,Debt consolidation,33.61,Jul-96,11,0,4147,43.7,19,f,INDIVIDUAL,0,0,"04305 Edwards Turnpike
Proctorberg, OK 48052"
1000, 36 months,15.31,34.82,C,C5,Agent,1 year,RENT,75000,Not Verified,Mar-16,Fully Paid,other,,8.91,Oct-04,8,0,10765,94,11,w,INDIVIDUAL,0,0,"25038 Alex Drive Suite 788
Flynntown, UT 05113"
4500, 36 months,18.49,163.8,D,D2,Me n eds pizza,3 years,RENT,20000,Not Verified,Sep-12,Fully Paid,debt_consolidation,Consolidation loan,23.76,Nov-06,6,0,3502,92.2,8,f,INDIVIDUAL,0,0,"96016 Cody Ford
New Jeffreyview, NH 29597"
7500, 36 months,9.17,239.1,B,B2,Product Engineer,10+ years,MORTGAGE,70000,Verified,Nov-15,Fully Paid,other,Other,4.99,Apr-03,5,0,7846,90.2,12,w,INDIVIDUAL,1,0,"Unit 1584 Box 3870
DPO AE 48052"
9000, 36 months,8.39,283.65,A,A5,crew leader,10+ years,MORTGAGE,50000,Not Verified,Oct-14,Fully Paid,credit_card,Credit card refinancing,17.11,Jun-97,11,0,16403,32.1,32,w,INDIVIDUAL,3,0,"057 Robinson Via Apt. 278
Kellyburgh, MA 00813"
3600, 36 months,11.67,119.01,B,B4,vault adminstrator,10+ years,MORTGAGE,64000,Not Verified,Sep-14,Fully Paid,debt_consolidation,Debt consolidation,30.34,Dec-96,19,0,13342,27.1,31,w,INDIVIDUAL,0,0,"686 Case Crest Apt. 483
Christopherville, CT 29597"
12000, 60 months,18.24,306.3,D,D5,Customer Representative/Insurance Clerk,6 years,MORTGAGE,36000,Source Verified,Sep-14,Fully Paid,debt_consolidation,Debt consolidation,11.5,Dec-80,7,1,7435,62,23,f,INDIVIDUAL,1,1,"3466 Bryant Points
North Jesse, OK 70466"
7200, 36 months,16.78,255.92,C,C5,Ericsson,7 years,RENT,50000,Verified,Aug-13,Fully Paid,debt_consolidation,Debt Consolidation Loan,31.15,Jun-01,21,0,10741,62.8,23,w,INDIVIDUAL,0,0,"PSC 4784, Box 0555
APO AA 70466"
29000, 60 months,10.64,625.34,B,B2,Royal Appliance Mfg. Co.,10+ years,MORTGAGE,104000,Verified,Sep-13,Fully Paid,debt_consolidation,Debt consolidation,12.63,Sep-84,12,0,32422,10.1,26,f,INDIVIDUAL,4,0,"79933 Margaret Hill
Johnland, IN 22690"
